Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
A0A5K4F9W0	Helicase SKI2W	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]		RNA catabolic process [GO:0006401]
A0A5K4F9W1	Pentatricopeptide repeat-containing protein			
A0A5K4F9W3	Uncharacterized protein			deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]
A0A5K4F9W4	LisH domain-containing protein	single-stranded DNA binding [GO:0003697]	nucleus [GO:0005634]	
A0A5K4F9W5	RanBD1 domain-containing protein		nuclear pore [GO:0005643]	intracellular transport [GO:0046907]; mRNA transport [GO:0051028]; protein transport [GO:0015031]
A0A5K4F9W6	Magnesium-dependent phosphatase 1	phosphatase activity [GO:0016791]		
A0A5K4F9W7	Uncharacterized protein			
A0A5K4F9W8	Protein kinase domain-containing protein	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A5K4F9W9	GlcNAc kinase			
A0A5K4F9X2	Uncharacterized protein			
A0A5K4F9X3	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9X4	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9X5	Uncharacterized protein			
A0A5K4F9X7	DDB1- and CUL4-associated factor 15 WD40 repeat-containing domain-containing protein			
A0A5K4F9X8	FERM domain-containing protein		cytoskeleton [GO:0005856]; membrane [GO:0016020]	
A0A5K4F9Y0	PDZ domain-containing protein			
A0A5K4F9Y1	Uncharacterized protein			
A0A5K4F9Y2	ABC1 domain-containing protein		membrane [GO:0016020]	
A0A5K4F9Y5	AMPKBI domain-containing protein		cytoplasm [GO:0005737]	
A0A5K4F9Y7	Wd-repeat protein		nucleus [GO:0005634]	
A0A5K4F9Y8	Alpha-taxilin	syntaxin binding [GO:0019905]		
A0A5K4F9Z3	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9Z6	Uncharacterized protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	membrane [GO:0016020]	
A0A5K4F9Z8	Secreted protein			
A0A5K4F9Z9	UBZ4-type domain-containing protein			
A0A5K4FA00	Uncharacterized protein			
A0A5K4FA02	Putative coiled-coil alpha-helical rod protein 1 (Alpha helical coiled-coil rod protein)			
A0A5K4FA03	Uncharacterized protein			
A0A5K4FA04	Uncharacterized protein			
A0A5K4FA09	EF-hand domain-containing protein	calcium ion binding [GO:0005509]		
A0A5K4FA10	Uncharacterized protein			
A0A5K4FA11	Uncharacterized protein			
A0A5K4FA13	Uncharacterized protein			
A0A5K4FA14	Headcase middle domain-containing protein			
A0A5K4FA15	BZIP domain-containing protein	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		regulation of transcription by RNA polymerase II [GO:0006357]
A0A5K4FA18	DHHA2 domain-containing protein	metal ion binding [GO:0046872]; pyrophosphatase activity [GO:0016462]	cytoplasm [GO:0005737]	
A0A5K4FA19	Uncharacterized protein			
A0A5K4FA20	EGF-like domain-containing protein		membrane [GO:0016020]	
A0A5K4FA22	Gamma-tubulin complex component	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]
A0A5K4FA24	C2H2-type domain-containing protein			
A0A5K4FA25	Apple domain-containing protein		membrane [GO:0016020]	
A0A5K4FA26	Uncharacterized protein			
A0A5K4FA27	Annexin	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]		
A0A5K4FA28	Uncharacterized protein			
A0A5K4FA29	Ig-like domain-containing protein		plasma membrane [GO:0005886]	axon guidance [GO:0007411]; cell adhesion [GO:0007155]
A0A5K4FA30	Uncharacterized protein			
A0A5K4FA32	Uncharacterized protein			
A0A5K4FA34	ARID domain-containing protein	DNA binding [GO:0003677]	nucleus [GO:0005634]	
A0A5K4FA35	Uncharacterized protein			
A0A5K4FA36	Uncharacterized protein			
A0A5K4FA38	SET domain-containing protein			
A0A5K4FA39	Uncharacterized protein			
A0A5K4FA40	Kaptin (Actin binding protein)	actin binding [GO:0003779]	actin cytoskeleton [GO:0015629]	actin filament organization [GO:0007015]
A0A5K4FA41	Uncharacterized protein			
A0A5K4FA42	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FA43	Actin-binding LIM protein 1	actin binding [GO:0003779]; metal ion binding [GO:0046872]		cytoskeleton organization [GO:0007010]
A0A5K4FA44	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FA45	TRPA	monoatomic ion channel activity [GO:0005216]	membrane [GO:0016020]	
A0A5K4FA46	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FA47	Ala_racemase_N domain-containing protein	pyridoxal phosphate binding [GO:0030170]		
A0A5K4FA48	G_PROTEIN_RECEP_F1_2 domain-containing protein		membrane [GO:0016020]	
A0A5K4FA50	Transcription factor IIIC 90kDa subunit N-terminal domain-containing protein			
A0A5K4FA51	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FA52	Ovule protein		membrane [GO:0016020]	
A0A5K4FA53	Uncharacterized protein	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]		
A0A5K4FA54	CUB domain-containing protein			
A0A5K4FA55	Phospholipid scramblase	phospholipid scramblase activity [GO:0017128]		
A0A5K4FA56	MFS domain-containing protein	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A5K4FA57	Uncharacterized protein			
A0A5K4FA58	PAPS_reduct domain-containing protein			
A0A5K4FA59	PDZ domain-containing protein			
A0A5K4FA60	UBD domain-containing protein			
A0A5K4FA61	Exportin-4	nuclear export signal receptor activity [GO:0005049]	nucleus [GO:0005634]	
A0A5K4FA62	Peptidase A1 domain-containing protein	aspartic-type endopeptidase activity [GO:0004190]		proteolysis [GO:0006508]
A0A5K4FA63	UPF0506 domain-containing protein		extracellular region [GO:0005576]	
A0A5K4FA64	Rho GTPase-activating protein			
A0A5K4FA65	DDHD domain-containing protein	metal ion binding [GO:0046872]; phospholipid transporter activity [GO:0005548]	cellular anatomical entity [GO:0110165]	
A0A5K4FA66	Uncharacterized protein			
A0A5K4FA67	C2H2-type domain-containing protein	RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	nucleus [GO:0005634]	regulation of transcription by RNA polymerase II [GO:0006357]
A0A5K4FA69	Uncharacterized protein			
A0A5K4FA70	DEP domain-containing protein	GTPase activator activity [GO:0005096]		
A0A5K4FA73	Uncharacterized protein			
A0A5K4FA74	RNase_PH domain-containing protein			
A0A5K4FA75	BTB domain-containing protein	voltage-gated potassium channel activity [GO:0005249]	voltage-gated potassium channel complex [GO:0008076]	protein homooligomerization [GO:0051260]; regulation of monoatomic ion transmembrane transport [GO:0034765]
A0A5K4FA76	Uncharacterized protein			
A0A5K4FA78	C2H2-type domain-containing protein			
A0A5K4FA80	Uncharacterized protein			
A0A5K4FA81	Uncharacterized protein			
A0A5K4FA82	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FA83	BHLH domain-containing protein	protein dimerization activity [GO:0046983]		
A0A5K4FA84	Uncharacterized protein			
A0A5K4FA86	Uncharacterized protein			
A0A5K4FA89	Fork-head domain-containing protein	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]	
A0A5K4FA90	Uncharacterized protein			
A0A5K4FA96	ETS domain-containing protein	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]	regulation of transcription by RNA polymerase II [GO:0006357]
A0A5K4FA97	Putative hepatotoxic ribonuclease omega-1	ribonuclease T2 activity [GO:0033897]; RNA binding [GO:0003723]		
A0A5K4FAA0	G_PROTEIN_RECEP_F1_2 domain-containing protein	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A5K4FAA1	Testis-specific protein pbs13-related			
A0A5K4FAA2	MIR domain-containing protein			
A0A5K4FAA4	Uncharacterized protein			
A0A5K4FAA6	RRM domain-containing protein	RNA binding [GO:0003723]	ribonucleoprotein complex [GO:1990904]	
A0A5K4FAA7	Uncharacterized protein	scavenger receptor activity [GO:0005044]	lysosome [GO:0005764]; membrane [GO:0016020]	
A0A5K4FAA8	Rab-GAP TBC domain-containing protein		cytoplasmic vesicle [GO:0031410]	
A0A5K4FAA9	Uncharacterized protein			
A0A5K4FAB0	N-methyl-D-aspartate receptor-associated protein		membrane [GO:0016020]	
A0A5K4FAB2	Uncharacterized protein			
A0A5K4FAB3	Phosphatidylinositol transfer protein	phospholipid transporter activity [GO:0005548]		
A0A5K4FAB4	Uncharacterized protein			
A0A5K4FAB5	DNL-type domain-containing protein	zinc ion binding [GO:0008270]		
A0A5K4FAB7	Cadherin domain-containing protein	calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
A0A5K4FAC0	Fe2OG dioxygenase domain-containing protein			
A0A5K4FAC1	Conserved oligomeric Golgi complex subunit 1		Golgi transport complex [GO:0017119]; membrane [GO:0016020]	intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]
A0A5K4FAC4	DUF1741 domain-containing protein		membrane [GO:0016020]	
A0A5K4FAC5	Uncharacterized protein		sodium:potassium-exchanging ATPase complex [GO:0005890]	potassium ion transport [GO:0006813]; sodium ion transport [GO:0006814]
A0A5K4FAC6	Fork-head domain-containing protein	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]	
A0A5K4FAC8	Uncharacterized protein	syntaxin binding [GO:0019905]		
A0A5K4FAC9	ALMS motif domain-containing protein			
A0A5K4FAD0	CobW C-terminal domain-containing protein	hydrolase activity [GO:0016787]		
A0A5K4FAD1	Ras-associating domain-containing protein			signal transduction [GO:0007165]
A0A5K4FAD2	Uncharacterized protein			
A0A5K4FAD3	Uncharacterized protein			
A0A5K4FAD5	Wd-repeat protein			
A0A5K4FAD9	PH domain-containing protein			
A0A5K4FAE1	C2H2-type domain-containing protein			
A0A5K4FAE3	G-protein coupled receptors family 1 profile domain-containing protein	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A5K4FAE4	ARID domain-containing protein	DNA binding [GO:0003677]		regulation of transcription by RNA polymerase II [GO:0006357]
A0A5K4FAE5	Uncharacterized protein	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719]		protein modification process [GO:0036211]
A0A5K4FAE6	DNA-methyltransferase 2 isoform 1	methyltransferase activity [GO:0008168]		methylation [GO:0032259]
A0A5K4FAE7	Brca1 interacting protein C-terminal helicase 1 brip1			
A0A5K4FAE8	Abscisic acid G-protein coupled receptor-like domain-containing protein		membrane [GO:0016020]	
A0A5K4FAE9	Protein kinase domain-containing protein	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]
A0A5K4FAF3	BHLH domain-containing protein	protein dimerization activity [GO:0046983]		
A0A5K4FAF4	Rap guanine nucleotide exchange factor 2	guanyl-nucleotide exchange factor activity [GO:0005085]		small GTPase mediated signal transduction [GO:0007264]
A0A5K4FAF5	Uncharacterized protein			
A0A5K4FAF6	Peptidase_M28 domain-containing protein	metalloexopeptidase activity [GO:0008235]	membrane [GO:0016020]	proteolysis [GO:0006508]
A0A5K4FAF7	tRNA-synt_2 domain-containing protein			
A0A5K4FAF8	Homeobox domain-containing protein	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	nucleus [GO:0005634]	
A0A5K4FAF9	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FAG0	Synaptotagmin		membrane [GO:0016020]	
A0A5K4FAG1	C2H2-type domain-containing protein			
A0A5K4FAG3	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial			ubiquinone biosynthetic process [GO:0006744]
A0A5K4FAG4	PKS_ER domain-containing protein	oxidoreductase activity [GO:0016491]		
A0A5K4FAG5	Phosphoserine phosphohydrolase-like protein trans-spliced			
A0A5K4FAG7	MMS1_N domain-containing protein			
A0A5K4FAG8	G-patch domain-containing protein	nucleic acid binding [GO:0003676]		
A0A5K4FAG9	Tripartite motif protein trim9, putative			
A0A5K4FAH0	C2H2-type domain-containing protein			
A0A5K4FAH2	C2H2-type domain-containing protein			
A0A5K4FAH4	DIX domain-containing protein			Wnt signaling pathway [GO:0016055]
A0A5K4FAH6	Bardet-Biedl syndrome 5 protein		BBSome [GO:0034464]	
A0A5K4FAH7	Protein FAM166B			
A0A5K4FAH8	TPT domain-containing protein		membrane [GO:0016020]	
A0A5K4FAI0	Vacuolar protein sorting-associated protein 33A			vesicle-mediated transport [GO:0016192]
A0A5K4FAI2	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FAI4	MFS domain-containing protein	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A5K4FAI6	G_PROTEIN_RECEP_F3_4 domain-containing protein	G protein-coupled receptor activity [GO:0004930]	plasma membrane [GO:0005886]	
A0A5K4FAI7	Cilia- and flagella-associated protein 91		cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	
A0A5K4FAI8	Uncharacterized protein			
A0A5K4FAI9	MAM domain-containing protein		membrane [GO:0016020]	
A0A5K4FAJ1	G-patch domain-containing protein	nucleic acid binding [GO:0003676]		spliceosomal complex disassembly [GO:0000390]
A0A5K4FAJ2	UMP-CMP kinase	ATP binding [GO:0005524]; nucleobase-containing compound kinase activity [GO:0019205]		nucleobase-containing compound metabolic process [GO:0006139]; phosphorylation [GO:0016310]
A0A5K4FAJ3	Heparin sulfate O-sulfotransferase	sulfotransferase activity [GO:0008146]	Golgi membrane [GO:0000139]	
A0A5K4FAJ4	MAM domain-containing protein			
A0A5K4FAJ5	Uncharacterized protein			
A0A5K4FAJ6	Homeobox domain-containing protein	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	nucleus [GO:0005634]	
A0A5K4FAJ7	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FAJ8	Protein kinase domain-containing protein			
A0A5K4FAK0	Clu domain-containing protein		cytoplasm [GO:0005737]	organelle organization [GO:0006996]
A0A5K4FAK1	Protein kinase domain-containing protein	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A5K4FAK2	Uncharacterized protein			
A0A5K4FAK3	Uncharacterized protein	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	membrane [GO:0016020]	proteolysis [GO:0006508]
A0A5K4FAK4	GBD/FH3 domain-containing protein	actin binding [GO:0003779]; small GTPase binding [GO:0031267]		actin cytoskeleton organization [GO:0030036]; regulation of cell morphogenesis [GO:0022604]
A0A5K4FAK5	Putative nucleolar protein c7c			
A0A5K4FAK6	PKD_channel domain-containing protein	calcium ion binding [GO:0005509]	membrane [GO:0016020]	
A0A5K4FAK7	UBC core domain-containing protein			
A0A5K4FAK8	Peptidase_M13_N domain-containing protein	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]		proteolysis [GO:0006508]
A0A5K4FAK9	3-ketodihydrosphingosine reductase		membrane [GO:0016020]	
A0A5K4FAL0	Mucin-2-like			
A0A5K4FAL1	NFRKB_winged domain-containing protein		Ino80 complex [GO:0031011]	
A0A5K4FAL2	Cyclic nucleotide-binding domain-containing protein	monoatomic ion channel activity [GO:0005216]	membrane [GO:0016020]	
A0A5K4FAL3	Leucine-rich repeat-containing protein 51		cytoplasm [GO:0005737]	
A0A5K4FAL4	Uncharacterized protein			
A0A5K4FAL5	Alpha-galactosidase (EC 3.2.1.-)	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]		carbohydrate metabolic process [GO:0005975]
A0A5K4FAL6	Adenylate cyclase	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A5K4FAL8	Uncharacterized protein			
A0A5K4FAL9	Uncharacterized protein			
A0A5K4FAM0	Putative talin	actin filament binding [GO:0051015]; structural constituent of cytoskeleton [GO:0005200]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; ruffle [GO:0001726]	cell adhesion [GO:0007155]
A0A5K4FAM3	SH3 domain-containing protein			
A0A5K4FAM4	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FAM5	28S ribosomal protein S5, putative	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
A0A5K4FAM6	RFXA_RFXANK_bdg domain-containing protein			
A0A5K4FAM7	Reverse transcriptase domain-containing protein			
A0A5K4FAM8	Family M13 unassigned peptidase (M13 family)	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]		proteolysis [GO:0006508]
A0A5K4FAM9	FPL domain-containing protein			
A0A5K4FAN0	GlcNAc kinase	N-acetylglucosamine kinase activity [GO:0045127]		
A0A5K4FAN2	HORMA domain-containing protein			
A0A5K4FAN3	ADF-H domain-containing protein	actin binding [GO:0003779]; Arp2/3 complex binding [GO:0071933]		actin filament debranching [GO:0071846]
A0A5K4FAN4	Immunoglobulin subtype domain-containing protein		membrane [GO:0016020]	
A0A5K4FAN7	Uncharacterized protein			
A0A5K4FAN8	Uncharacterized protein			
A0A5K4FAP0	FERM domain-containing protein		cytoskeleton [GO:0005856]; membrane [GO:0016020]	
A0A5K4FAP2	Uncharacterized protein			deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]
A0A5K4FAP3	SH2 domain-containing protein			
A0A5K4FAP4	Uncharacterized protein			
A0A5K4FAP5	ABC1 domain-containing protein		membrane [GO:0016020]	
A0A5K4FAP6	Uncharacterized protein			
A0A5K4FAP8	SEC7 domain-containing protein	guanyl-nucleotide exchange factor activity [GO:0005085]		regulation of ARF protein signal transduction [GO:0032012]
A0A5K4FAP9	Uncharacterized protein			
A0A5K4FAQ1	BZIP domain-containing protein	DNA-binding transcription factor activity [GO:0003700]		
A0A5K4FAQ3	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4FAQ4	SelT-like protein		membrane [GO:0016020]	
A0A5K4FAQ5	BPTI/Kunitz inhibitor domain-containing protein	serine-type endopeptidase inhibitor activity [GO:0004867]		
A0A5K4FAQ6	RING-type domain-containing protein	metal ion binding [GO:0046872]		
A0A5K4FAQ7	RRM domain-containing protein	RNA binding [GO:0003723]		
A0A5K4FAQ8	Uncharacterized protein			
A0A5K4FAQ9	Subfamily S1A unassigned peptidase (S01 family)	serine-type endopeptidase activity [GO:0004252]		proteolysis [GO:0006508]
A0A5K4FAR0	Homeobox protein engrailed-like	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	nucleus [GO:0005634]	
A0A5K4FAR1	EGF-like domain-containing protein		membrane [GO:0016020]	
A0A5K4FAR3	Dynein light chain		cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]	microtubule-based process [GO:0007017]
A0A5K4FAR5	Formin-related			
A0A5K4FAR6	Cadherin domain-containing protein	calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
A0A5K4FAR7	Saposin B-type domain-containing protein		membrane [GO:0016020]	
A0A5K4FAR9	Uncharacterized protein			
A0A5K4FAS0	Uncharacterized protein			
A0A5K4FAS1	PIPK domain-containing protein	ATP binding [GO:0005524]; phosphatidylinositol phosphate kinase activity [GO:0016307]		
A0A5K4FAS2	Tr-type G domain-containing protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A5K4FAS4	PSP domain-containing protein		nucleus [GO:0005634]	
